"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"520","2","Dwayne Bacon",24.2,"CHA","Wing",660,5,"38.40%",6,"43%",23,"29%",34,"33%",19,"30%",0,"20%",17,"30%",10,"28%","2019-2020",2020
"521","2","Marvin Bagley",20.6,"SAC","Big",326,10,"47.90%",43,"65%",19,"30%",79,"50%",28,"35%",0,"0%",4,"16%",3,"15%","2019-2020",2020
"522","2","Lonzo Ball",22,"NOP","Combo",2014,73,"51.90%",50,"59%",12,"25%",15,"27%",12,"26%",31,"36%",86,"39%",76,"38%","2019-2020",2020
"523","2","Mohamed Bamba",21.5,"ORL","Big",859,32,"52.40%",32,"63%",10,"24%",39,"33%",13,"28%",0,"21%",73,"38%",60,"36%","2019-2020",2020
"524","2","J.J. Barea",35.3,"DAL","Point",388,29,"49.10%",65,"60%",4,"26%",37,"40%",8,"31%",0,"50%",38,"35%",52,"37%","2019-2020",2020
"525","2","Harrison Barnes",27.4,"SAC","Forward",2474,53,"52.60%",45,"62%",43,"35%",57,"36%",45,"35%",45,"38%",80,"39%",75,"38%","2019-2020",2020
"526","2","RJ Barrett",19.4,"NYK","Wing",1678,11,"44.90%",19,"54%",17,"27%",25,"31%",15,"28%",26,"37%",14,"30%",19,"32%","2019-2020",2020
"527","2","Will Barton",28.8,"DEN","Wing",1903,51,"51.90%",41,"59%",31,"32%",93,"52%",57,"39%",94,"53%",39,"34%",55,"37%","2019-2020",2020
"528","2","Keita Bates-Diop",23.8,"MIN","Big",617,18,"50.50%",35,"64%",4,"15%",26,"20%",2,"16%",85,"46%",23,"27%",55,"35%","2019-2020",2020
"529","2","Nicolas Batum",30.9,"CHA","Wing",488,9,"43.50%",50,"61%",91,"50%",13,"11%",6,"23%",15,"32%",3,"26%",9,"28%","2019-2020",2020
"530","2","Aron Baynes",32.9,"PHX","Big",934,56,"55.60%",30,"63%",95,"54%",21,"13%",88,"49%",5,"24%",67,"37%",57,"35%","2019-2020",2020
"531","2","Kent Bazemore",30.3,"POR","Wing",1077,12,"44.90%",5,"42%",16,"26%",44,"36%",24,"31%",12,"31%",74,"38%",36,"35%","2019-2020",2020
"532","2","Kent Bazemore",30.3,"SAC","Forward",556,36,"50.30%",13,"51%",48,"35%",19,"17%",28,"30%",46,"38%",99,"47%",90,"42%","2019-2020",2020
"533","2","Darius Bazley",19.4,"OKC","Big",1072,8,"46.40%",6,"52%",14,"27%",48,"35%",15,"29%",23,"32%",58,"35%",47,"34%","2019-2020",2020
"534","2","Bradley Beal",26.3,"WAS","Wing",2051,53,"52.00%",72,"65%",68,"41%",60,"40%",66,"41%",16,"32%",55,"36%",45,"35%","2019-2020",2020
"535","2","Malik Beasley",22.9,"MIN","Wing",462,83,"57.30%",71,"65%",46,"35%",51,"38%",40,"36%",89,"50%",86,"40%",90,"42%","2019-2020",2020
"536","2","Malik Beasley",22.9,"DEN","Wing",697,32,"49.10%",16,"51%",27,"30%",76,"44%",43,"36%",60,"42%",52,"36%",59,"37%","2019-2020",2020
"537","2","Marco Belinelli",33.6,"SAS","Wing",833,28,"48.30%",37,"59%",29,"30%",50,"37%",39,"36%",50,"41%",46,"35%",52,"36%","2019-2020",2020
"538","2","Jordan Bell",24.8,"MIN","Big",205,49,"55.00%",40,"65%",17,"29%",0,"0%",13,"29%",0,"25%",0,"0%",0,"17%","2019-2020",2020
"539","2","DeAndre' Bembry",25.3,"ATL","Combo",881,55,"49.80%",47,"59%",88,"48%",2,"0%",83,"45%",10,"30%",6,"20%",9,"24%","2019-2020",2020
"540","2","Dragan Bender",22,"GSW","Big",184,19,"50.70%",13,"58%",68,"44%",0,"0%",70,"44%",0,"25%",68,"38%",50,"34%","2019-2020",2020
"541","2","Davis Bertans",27,"WAS","Forward",1570,95,"60.30%",33,"59%",49,"36%",33,"30%",37,"33%",100,"55%",91,"42%",93,"43%","2019-2020",2020
"542","2","Patrick Beverley",31.3,"LAC","Point",1341,82,"55.20%",53,"58%",67,"44%",6,"14%",51,"40%",57,"41%",69,"38%",76,"39%","2019-2020",2020
"543","2","Khem Birch",27.1,"ORL","Big",885,32,"52.60%",64,"71%",18,"29%",28,"25%",13,"29%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"544","2","Goga Bitadze",20.3,"IND","Big",407,13,"48.80%",89,"76%",60,"42%",77,"48%",75,"45%",0,"40%",0,"12%",4,"17%","2019-2020",2020
"545","2","Bismack Biyombo",27.2,"CHA","Big",1029,43,"54.30%",57,"69%",11,"24%",28,"25%",8,"24%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"546","2","Nemanja Bjelica",31.5,"SAC","Big",2009,68,"58.10%",15,"59%",80,"47%",65,"42%",83,"46%",98,"53%",79,"39%",94,"42%","2019-2020",2020
"547","2","Eric Bledsoe",29.9,"MIL","Point",1644,67,"52.70%",84,"66%",31,"35%",31,"38%",27,"36%",7,"26%",52,"36%",30,"35%","2019-2020",2020
"548","2","Bogdan Bogdanovic",27.2,"SAC","Wing",1752,69,"54.70%",52,"61%",86,"48%",92,"52%",94,"50%",22,"34%",73,"38%",57,"37%","2019-2020",2020
"549","2","Bojan Bogdanovic",30.5,"UTA","Forward",2082,69,"54.80%",39,"61%",53,"37%",39,"30%",52,"36%",88,"46%",81,"39%",89,"41%","2019-2020",2020
"550","2","Isaac Bonga",20,"WAS","Forward",1192,80,"56.70%",44,"62%",89,"50%",24,"20%",84,"46%",80,"44%",21,"29%",55,"35%","2019-2020",2020
"551","2","Devin Booker",23,"PHX","Wing",2508,64,"54.30%",89,"69%",87,"48%",74,"44%",90,"46%",32,"39%",48,"35%",44,"35%","2019-2020",2020
"552","2","Chris Boucher",26.8,"TOR","Big",742,43,"54.30%",26,"62%",40,"38%",28,"25%",27,"34%",9,"26%",57,"35%",37,"34%","2019-2020",2020
"553","2","Ky Bowman",22.4,"GSW","Point",958,16,"47.40%",71,"62%",39,"35%",49,"42%",37,"38%",77,"46%",8,"26%",18,"32%","2019-2020",2020
"554","2","Avery Bradley",28.9,"LAL","Combo",1184,76,"52.70%",65,"62%",64,"41%",77,"46%",82,"45%",35,"36%",74,"37%",61,"37%","2019-2020",2020
"555","2","Tony Bradley",21.8,"UTA","Big",613,95,"68.60%",70,"72%",76,"46%",10,"0%",74,"44%",0,"0%",0,"100%",0,"100%","2019-2020",2020
"556","2","Mikal Bridges",23.2,"PHX","Wing",1999,89,"59.00%",95,"73%",34,"33%",81,"45%",41,"36%",39,"41%",22,"32%",51,"36%","2019-2020",2020
"557","2","Miles Bridges",21.6,"CHA","Forward",1962,33,"49.20%",36,"60%",21,"28%",89,"50%",28,"30%",41,"37%",40,"32%",41,"34%","2019-2020",2020
"558","2","Oshae Brissett",21.4,"TOR","Forward",100,4,"37.90%",41,"62%",0,"0%",0,"0%",0,"0%",0,"13%",0,"17%",0,"14%","2019-2020",2020
"559","2","Ryan Broekhoff",29.2,"DAL","Forward",144,25,"48.00%",0,"0%",37,"33%",5,"0%",12,"25%",0,"33%",50,"34%",45,"34%","2019-2020",2020
"560","2","Malcolm Brogdon",26.9,"IND","Combo",1665,45,"48.90%",17,"51%",56,"40%",83,"49%",89,"47%",8,"29%",38,"33%",31,"33%","2019-2020",2020
"561","2","Dillon Brooks",23.8,"MEM","Wing",2111,21,"47.70%",17,"52%",56,"39%",63,"42%",64,"40%",24,"35%",54,"36%",49,"36%","2019-2020",2020
"562","2","Bruce Brown",23.2,"DET","Combo",1616,38,"48.30%",29,"54%",36,"36%",11,"22%",30,"35%",50,"41%",12,"26%",54,"36%","2019-2020",2020
"563","2","Jaylen Brown",23,"BOS","Wing",1929,76,"56.00%",65,"64%",80,"45%",66,"43%",80,"44%",85,"48%",51,"35%",71,"39%","2019-2020",2020
"564","2","Sterling Brown",24.7,"MIL","Wing",671,19,"47.20%",12,"50%",35,"33%",15,"15%",12,"28%",68,"43%",16,"30%",39,"35%","2019-2020",2020
"565","2","Troy Brown",20.3,"WAS","Wing",1732,31,"48.90%",69,"64%",33,"33%",33,"33%",29,"33%",83,"47%",18,"30%",42,"35%","2019-2020",2020
"566","2","Jalen Brunson",23.2,"DAL","Point",973,45,"50.80%",61,"59%",84,"46%",63,"44%",82,"45%",33,"34%",40,"35%",34,"35%","2019-2020",2020
"567","2","Thomas Bryant",22.3,"WAS","Big",1144,84,"62.60%",89,"77%",60,"42%",72,"45%",71,"44%",0,"40%",90,"41%",90,"41%","2019-2020",2020
"568","2","Reggie Bullock",28.6,"NYK","Wing",682,29,"48.70%",66,"64%",14,"24%",75,"44%",53,"38%",6,"26%",59,"36%",27,"33%","2019-2020",2020
"569","2","Trey Burke",27,"PHI","Point",282,75,"53.50%",22,"53%",92,"54%",27,"36%",59,"41%",0,"80%",90,"41%",96,"48%","2019-2020",2020
"570","2","Trey Burke",27,"DAL","Point",190,73,"53.10%",4,"36%",88,"50%",73,"46%",86,"48%",0,"33%",98,"50%",92,"44%","2019-2020",2020
"571","2","Alec Burks",28.3,"GSW","Wing",1384,26,"48.10%",11,"49%",35,"33%",72,"44%",51,"38%",50,"41%",72,"38%",65,"38%","2019-2020",2020
"572","2","Alec Burks",28.3,"PHI","Combo",361,92,"57.10%",98,"71%",80,"46%",20,"30%",48,"40%",100,"61%",80,"38%",93,"43%","2019-2020",2020
"573","2","Deonte Burton",25.7,"OKC","Forward",283,0,"32.40%",27,"56%",0,"0%",29,"29%",7,"14%",0,"0%",0,"13%",0,"9%","2019-2020",2020
"574","2","Jimmy Butler",30.1,"MIA","Wing",1957,24,"48.00%",64,"64%",60,"40%",29,"32%",46,"37%",4,"23%",5,"27%",4,"26%","2019-2020",2020
"575","2","Bruno Caboclo",24.1,"MEM","Big",150,3,"43.50%",10,"56%",22,"33%",79,"50%",55,"40%",0,"33%",0,"0%",5,"18%","2019-2020",2020
"576","2","Kentavious Caldwell-Pope",26.7,"LAL","Wing",1749,72,"55.40%",61,"64%",47,"35%",65,"42%",59,"39%",34,"40%",78,"38%",69,"39%","2019-2020",2020
"577","2","Clint Capela",25.5,"HOU","Big",1275,85,"62.70%",56,"68%",42,"38%",79,"50%",47,"39%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"578","2","DeMarre Carroll",33.3,"SAS","Forward",110,5,"38.60%",3,"33%",37,"33%",0,"0%",37,"33%",0,"50%",0,"25%",0,"30%","2019-2020",2020
"579","2","DeMarre Carroll",33.3,"HOU","Big",114,90,"65.90%",98,"86%",99,"80%",0,"0%",99,"80%",0,"50%",0,"0%",0,"30%","2019-2020",2020
"580","2","Jevon Carter",24.1,"PHX","Combo",866,94,"57.10%",9,"47%",20,"30%",68,"44%",41,"38%",85,"49%",94,"42%",96,"44%","2019-2020",2020
"581","2","Vince Carter",42.8,"ATL","Big",857,6,"45.20%",2,"44%",77,"47%",66,"42%",77,"45%",26,"33%",28,"30%",28,"30%","2019-2020",2020
"582","2","Wendell Carter",20.5,"CHI","Big",1253,41,"54.20%",45,"66%",34,"37%",64,"41%",42,"38%",0,"17%",16,"24%",9,"21%","2019-2020",2020
"583","2","Michael Carter-Williams",28.1,"ORL","Combo",808,20,"46.40%",33,"56%",77,"44%",5,"15%",44,"39%",6,"27%",22,"28%",13,"28%","2019-2020",2020
"584","2","Alex Caruso",25.7,"LAL","Combo",1128,47,"48.90%",85,"64%",3,"14%",6,"17%",0,"15%",19,"32%",68,"36%",39,"35%","2019-2020",2020
"585","2","Willie Cauley-Stein",26.2,"DAL","Big",147,98,"71.40%",98,"84%",11,"25%",79,"50%",15,"30%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"586","2","Willie Cauley-Stein",26.2,"GSW","Big",938,60,"56.10%",74,"73%",52,"40%",25,"18%",20,"32%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"587","2","Tyson Chandler",37.1,"HOU","Big",219,100,"76.50%",85,"75%",99,"100%",0,"0%",100,"100%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"588","2","Wilson Chandler",32.5,"BKN","Big",730,20,"50.80%",54,"68%",86,"50%",96,"75%",97,"55%",55,"38%",24,"28%",30,"31%","2019-2020",2020
"589","2","Chris Chiozza",23.9,"BKN","Point",244,88,"56.00%",16,"52%",98,"67%",92,"57%",96,"62%",0,"60%",44,"36%",72,"38%","2019-2020",2020
"590","2","Chris Chiozza",23.9,"WAS","Point",103,4,"39.30%",2,"29%",0,"0%",0,"0%",0,"0%",0,"100%",0,"36%",0,"46%","2019-2020",2020
"591","2","Marquese Chriss",22.3,"GSW","Big",1160,59,"56.10%",38,"64%",58,"42%",48,"35%",58,"40%",0,"40%",9,"18%",10,"21%","2019-2020",2020
"592","2","Gary Clark",25,"HOU","Big",194,29,"51.90%",94,"80%",0,"0%",0,"0%",0,"0%",0,"40%",39,"31%",44,"34%","2019-2020",2020
"593","2","Gary Clark",25,"ORL","Forward",337,81,"57.10%",96,"78%",89,"50%",97,"100%",99,"60%",75,"44%",41,"33%",56,"36%","2019-2020",2020
"594","2","Brandon Clarke",23.1,"MEM","Big",1258,88,"64.10%",83,"74%",95,"55%",52,"36%",95,"53%",20,"31%",78,"39%",58,"35%","2019-2020",2020
"595","2","Jordan Clarkson",27.4,"CLE","Wing",665,59,"53.40%",56,"63%",75,"43%",19,"25%",52,"38%",49,"41%",61,"36%",60,"37%","2019-2020",2020
"596","2","Jordan Clarkson",27.4,"UTA","Wing",1025,70,"55.10%",87,"68%",83,"47%",43,"35%",85,"45%",48,"41%",50,"35%",58,"37%","2019-2020",2020
"597","2","Nicolas Claxton",20.5,"BKN","Big",161,61,"56.30%",62,"70%",86,"50%",0,"0%",90,"50%",0,"0%",0,"33%",0,"14%","2019-2020",2020
"598","2","Chris Clemons",22.3,"HOU","Combo",211,17,"45.70%",6,"44%",94,"50%",88,"50%",95,"50%",0,"50%",29,"30%",24,"31%","2019-2020",2020
"599","2","Amir Coffey",22.4,"LAC","Wing",106,6,"42.20%",12,"50%",61,"40%",34,"33%",47,"38%",0,"50%",0,"13%",0,"25%","2019-2020",2020
"600","2","John Collins",22.1,"ATL","Big",1362,86,"63.20%",85,"75%",49,"40%",65,"42%",59,"40%",48,"37%",88,"40%",86,"40%","2019-2020",2020
"601","2","Zach Collins",21.9,"POR","Big",289,29,"52.20%",21,"61%",22,"33%",28,"25%",17,"31%",0,"17%",0,"46%",68,"37%","2019-2020",2020
"602","2","Mike Conley",32.1,"UTA","Point",1359,39,"49.60%",47,"57%",45,"36%",43,"41%",31,"37%",67,"44%",54,"36%",68,"38%","2019-2020",2020
"603","2","Pat Connaughton",26.8,"MIL","Wing",1146,63,"54.20%",86,"68%",35,"33%",3,"0%",5,"23%",9,"27%",40,"34%",26,"33%","2019-2020",2020
"604","2","Quinn Cook",26.6,"LAL","Combo",430,42,"48.50%",14,"49%",33,"35%",68,"44%",56,"41%",94,"52%",28,"30%",64,"37%","2019-2020",2020
"605","2","Robert Covington",28.9,"HOU","Big",725,21,"50.90%",46,"66%",3,"14%",97,"100%",20,"33%",58,"38%",27,"30%",33,"32%","2019-2020",2020
"606","2","Robert Covington",28.9,"MIN","Forward",1410,71,"54.80%",48,"63%",96,"53%",60,"38%",93,"48%",30,"34%",54,"35%",52,"35%","2019-2020",2020
"607","2","Allen Crabbe",27.6,"ATL","Wing",504,16,"46.20%",90,"69%",13,"22%",51,"38%",17,"29%",62,"43%",14,"30%",25,"33%","2019-2020",2020
"608","2","Allen Crabbe",27.6,"MIN","Wing",131,6,"39.10%",99,"100%",91,"50%",34,"33%",60,"40%",0,"31%",0,"9%",0,"21%","2019-2020",2020
"609","2","Torrey Craig",28.9,"DEN","Wing",1041,77,"56.10%",94,"73%",10,"21%",22,"30%",8,"24%",10,"31%",56,"36%",33,"34%","2019-2020",2020
"610","2","Jae Crowder",29.3,"MIA","Big",553,92,"66.40%",60,"69%",86,"50%",39,"33%",55,"40%",89,"47%",100,"45%",100,"45%","2019-2020",2020
"611","2","Jae Crowder",29.3,"MEM","Forward",1321,20,"47.00%",52,"63%",9,"18%",65,"42%",31,"30%",18,"29%",29,"30%",23,"30%","2019-2020",2020
"612","2","Jarrett Culver",20.7,"MIN","Combo",1454,15,"45.40%",27,"54%",18,"29%",9,"21%",14,"28%",0,"21%",31,"30%",19,"28%","2019-2020",2020
"613","2","Seth Curry",29.2,"DAL","Combo",1543,98,"62.10%",89,"66%",85,"47%",95,"56%",97,"51%",69,"44%",100,"46%",97,"45%","2019-2020",2020
"614","2","Stephen Curry",31.6,"GSW","Point",139,22,"48.70%",88,"67%",94,"60%",96,"60%",94,"60%",0,"33%",6,"24%",4,"25%","2019-2020",2020
"615","2","Troy Daniels",28.3,"LAL","Wing",387,52,"52.00%",21,"55%",97,"58%",34,"33%",78,"43%",62,"43%",31,"33%",54,"36%","2019-2020",2020
"616","2","Anthony Davis",26.6,"LAL","Big",2130,40,"54.10%",77,"74%",52,"40%",45,"33%",38,"37%",76,"43%",40,"32%",50,"34%","2019-2020",2020
"617","2","Ed Davis",30.4,"UTA","Big",281,14,"48.80%",18,"60%",5,"17%",97,"100%",6,"23%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"618","2","Terence Davis",22.5,"TOR","Combo",1136,86,"54.50%",91,"66%",9,"20%",3,"10%",2,"18%",81,"47%",38,"33%",63,"37%","2019-2020",2020
"619","2","DeMar DeRozan",30.2,"SAS","Forward",2315,64,"53.60%",88,"70%",84,"48%",83,"45%",88,"47%",0,"33%",14,"25%",12,"28%","2019-2020",2020
"620","2","Dewayne Dedmon",30.2,"ATL","Big",233,4,"44.00%",44,"66%",8,"23%",39,"33%",8,"25%",0,"0%",35,"31%",12,"22%","2019-2020",2020
"621","2","Dewayne Dedmon",30.2,"SAC","Big",526,4,"44.30%",46,"66%",29,"35%",59,"38%",32,"36%",0,"27%",10,"19%",8,"20%","2019-2020",2020
"622","2","Matthew Dellavedova",29.1,"CLE","Combo",804,6,"40.50%",21,"52%",91,"48%",50,"40%",92,"47%",29,"35%",3,"19%",6,"22%","2019-2020",2020
"623","2","Donte DiVincenzo",22.7,"MIL","Combo",1488,85,"54.20%",67,"62%",30,"33%",94,"53%",68,"43%",4,"27%",60,"36%",34,"34%","2019-2020",2020
"624","2","Cheick Diallo",23.1,"PHX","Big",406,87,"63.70%",68,"71%",86,"50%",59,"38%",82,"46%",0,"100%",0,"0%",0,"100%","2019-2020",2020
"625","2","Hamidou Diallo",21.3,"OKC","Wing",837,25,"48.00%",32,"57%",21,"29%",51,"38%",21,"31%",18,"32%",0,"27%",15,"31%","2019-2020",2020
"626","2","Gorgui Dieng",29.8,"MIN","Big",769,39,"53.70%",16,"60%",43,"38%",49,"35%",38,"37%",88,"46%",68,"38%",85,"40%","2019-2020",2020
"627","2","Gorgui Dieng",29.8,"MEM","Big",297,35,"53.10%",95,"81%",94,"53%",39,"33%",82,"46%",0,"36%",4,"16%",13,"23%","2019-2020",2020
"628","2","Spencer Dinwiddie",26.6,"BKN","Combo",1993,30,"47.90%",58,"60%",24,"31%",26,"31%",20,"31%",15,"31%",34,"31%",27,"31%","2019-2020",2020
"629","2","Luka Doncic",20.7,"DAL","Wing",2047,62,"53.80%",94,"73%",69,"41%",31,"32%",65,"40%",0,"21%",28,"33%",22,"33%","2019-2020",2020
"630","2","Luguentz Dort",20.5,"OKC","Wing",799,18,"46.70%",27,"56%",7,"19%",3,"0%",0,"17%",11,"31%",11,"29%",14,"30%","2019-2020",2020
"631","2","Damyean Dotson",25.5,"NYK","Wing",771,42,"51.10%",47,"61%",61,"40%",68,"43%",75,"43%",29,"38%",49,"35%",46,"36%","2019-2020",2020
"632","2","Sekou Doumbouya",18.9,"DET","Forward",724,15,"45.00%",23,"55%",27,"30%",27,"25%",20,"29%",11,"28%",31,"30%",21,"29%","2019-2020",2020
"633","2","PJ Dozier",23,"DEN","Combo",385,52,"49.30%",97,"70%",11,"21%",74,"46%",18,"31%",0,"17%",97,"44%",87,"40%","2019-2020",2020
"634","2","Goran Dragic",33.5,"MIA","Point",1645,71,"53.00%",94,"67%",41,"36%",61,"44%",43,"39%",63,"44%",48,"36%",54,"37%","2019-2020",2020
"635","2","Andre Drummond",26.2,"CLE","Big",220,64,"56.60%",26,"62%",77,"47%",10,"0%",70,"44%",0,"60%",0,"11%",0,"29%","2019-2020",2020
"636","2","Andre Drummond",26.2,"DET","Big",1651,38,"53.70%",36,"64%",27,"34%",24,"17%",24,"34%",0,"0%",0,"7%",0,"6%","2019-2020",2020
"637","2","Jared Dudley",34.3,"LAL","Big",292,72,"59.20%",1,"40%",99,"100%",10,"0%",20,"33%",0,"58%",68,"38%",99,"44%","2019-2020",2020
"638","2","Kris Dunn",25.6,"CHI","Point",1259,27,"49.10%",80,"65%",49,"39%",12,"24%",25,"36%",13,"27%",10,"27%",8,"27%","2019-2020",2020
"639","2","Carsen Edwards",21.6,"BOS","Combo",284,3,"39.90%",0,"37%",0,"0%",36,"35%",8,"24%",0,"14%",42,"34%",28,"32%","2019-2020",2020
"640","2","Wayne Ellington",31.9,"NYK","Combo",528,29,"47.90%",73,"63%",0,"0%",14,"25%",3,"21%",88,"50%",32,"31%",33,"34%","2019-2020",2020
"641","2","Joel Embiid",25.6,"PHI","Big",1505,24,"51.50%",55,"68%",70,"44%",57,"38%",61,"41%",0,"29%",49,"34%",42,"34%","2019-2020",2020
"642","2","James Ennis",29.3,"PHI","Wing",758,55,"52.50%",35,"58%",6,"18%",56,"40%",5,"23%",70,"44%",9,"29%",50,"36%","2019-2020",2020
"643","2","James Ennis",29.3,"ORL","Forward",484,63,"53.50%",57,"63%",97,"56%",60,"38%",89,"47%",0,"29%",39,"32%",27,"31%","2019-2020",2020
"644","2","Drew Eubanks",22.7,"SAS","Big",247,90,"65.70%",82,"74%",93,"53%",62,"40%",90,"50%",0,"100%",0,"0%",0,"100%","2019-2020",2020
"645","2","Jacob Evans",22.4,"GSW","Wing",385,2,"37.60%",1,"37%",12,"22%",42,"35%",20,"31%",0,"30%",70,"38%",40,"35%","2019-2020",2020
"646","2","Dante Exum",24.3,"CLE","Wing",385,80,"56.60%",68,"64%",35,"33%",0,"0%",30,"33%",0,"20%",97,"46%",64,"38%","2019-2020",2020
"647","2","Derrick Favors",28.3,"NOP","Big",1241,82,"62.20%",68,"71%",60,"42%",36,"30%",50,"39%",0,"20%",0,"0%",0,"17%","2019-2020",2020
"648","2","Cristiano Felicio",27.3,"CHI","Big",380,85,"63.00%",73,"72%",38,"38%",10,"0%",20,"33%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"649","2","Terrance Ferguson",21.5,"OKC","Wing",1224,19,"47.40%",70,"65%",3,"14%",98,"70%",92,"47%",12,"31%",6,"28%",13,"29%","2019-2020",2020
"650","2","Bruno Fernando",21.2,"ATL","Big",666,49,"55.00%",65,"71%",36,"37%",10,"0%",29,"35%",0,"7%",12,"21%",2,"15%","2019-2020",2020
"651","2","Yogi Ferrell",26.5,"SAC","Point",460,14,"47.00%",6,"43%",20,"33%",88,"55%",84,"48%",0,"46%",17,"28%",20,"32%","2019-2020",2020
"652","2","Dorian Finney-Smith",26.5,"DAL","Forward",2116,85,"57.80%",65,"65%",37,"33%",35,"30%",35,"32%",66,"42%",44,"33%",71,"38%","2019-2020",2020
"653","2","Bryn Forbes",26.3,"SAS","Wing",1570,69,"54.80%",76,"66%",59,"40%",69,"43%",74,"42%",38,"41%",83,"39%",74,"39%","2019-2020",2020
"654","2","Evan Fournier",27,"ORL","Wing",2075,75,"55.90%",82,"67%",71,"42%",80,"45%",77,"43%",93,"52%",68,"37%",78,"40%","2019-2020",2020
"655","2","De'Aaron Fox",21.9,"SAC","Point",1631,53,"51.60%",73,"63%",57,"42%",78,"49%",71,"44%",0,"21%",27,"32%",10,"30%","2019-2020",2020
"656","2","Tim Frazier",29,"DET","Point",322,6,"43.20%",18,"52%",37,"35%",14,"27%",6,"31%",0,"75%",19,"29%",40,"36%","2019-2020",2020
"657","2","Markelle Fultz",21.4,"ORL","Combo",1984,50,"49.30%",68,"62%",55,"40%",58,"40%",55,"40%",13,"30%",20,"28%",18,"28%","2019-2020",2020
"658","2","Wenyen Gabriel",22.6,"POR","Big",138,0,"31.00%",2,"45%",0,"0%",0,"0%",0,"0%",0,"0%",0,"17%",0,"13%","2019-2020",2020
"659","2","Daniel Gafford",21.1,"CHI","Big",588,97,"69.40%",90,"77%",5,"20%",96,"75%",18,"32%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"660","2","Danilo Gallinari",31.2,"OKC","Big",1833,47,"54.80%",33,"63%",28,"34%",68,"43%",48,"39%",39,"35%",93,"41%",91,"41%","2019-2020",2020
"661","2","Langston Galloway",27.9,"DET","Wing",1684,78,"56.40%",60,"64%",69,"41%",69,"43%",73,"42%",95,"53%",23,"32%",84,"41%","2019-2020",2020
"662","2","Darius Garland",19.8,"CLE","Combo",1781,26,"47.80%",5,"43%",86,"47%",35,"35%",67,"43%",63,"42%",51,"35%",58,"36%","2019-2020",2020
"663","2","Marc Gasol",34.8,"TOR","Big",1157,33,"52.70%",24,"61%",80,"47%",24,"17%",49,"39%",0,"43%",71,"38%",75,"38%","2019-2020",2020
"664","2","Rudy Gay",33.2,"SAS","Big",1455,21,"50.90%",52,"68%",64,"42%",74,"47%",73,"44%",21,"31%",53,"35%",40,"34%","2019-2020",2020
"665","2","Paul George",29.5,"LAC","Wing",1412,61,"53.80%",44,"60%",72,"42%",44,"36%",55,"39%",99,"54%",76,"38%",88,"41%","2019-2020",2020
"666","2","Taj Gibson",34.4,"NYK","Big",1020,71,"59.10%",61,"69%",67,"43%",70,"44%",67,"43%",0,"25%",0,"33%",0,"29%","2019-2020",2020
"667","2","Harry Giles",21.5,"SAC","Big",638,52,"55.20%",77,"73%",32,"36%",69,"43%",52,"39%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"668","2","Shai Gilgeous-Alexander",21.3,"OKC","Wing",2411,45,"51.40%",34,"58%",73,"43%",87,"49%",83,"45%",60,"42%",37,"34%",37,"35%","2019-2020",2020
"669","2","Rudy Gobert",27.3,"UTA","Big",2331,96,"69.20%",79,"74%",15,"28%",0,"0%",12,"28%",0,"0%",0,"0%",0,"0%","2019-2020",2020
"670","2","Brandon Goodwin",24.1,"ATL","Combo",392,36,"48.20%",48,"59%",82,"46%",23,"31%",64,"42%",0,"7%",71,"37%",25,"31%","2019-2020",2020
"671","2","Aaron Gordon",24.1,"ORL","Forward",2017,29,"48.90%",81,"68%",45,"35%",25,"22%",25,"30%",25,"33%",37,"32%",32,"32%","2019-2020",2020
"672","2","Eric Gordon",30.9,"HOU","Wing",1016,23,"47.80%",23,"55%",44,"34%",3,"0%",13,"28%",0,"19%",30,"33%",18,"32%","2019-2020",2020
"673","2","Devonte' Graham",24.7,"CHA","Point",2206,41,"49.70%",10,"48%",18,"32%",22,"35%",12,"33%",73,"46%",60,"37%",60,"38%","2019-2020",2020
"674","2","Treveon Graham",26,"ATL","Forward",246,28,"48.30%",8,"46%",57,"38%",5,"0%",37,"33%",0,"23%",100,"47%",68,"38%","2019-2020",2020
"675","2","Treveon Graham",26,"MIN","Forward",640,9,"40.60%",7,"44%",77,"47%",0,"0%",87,"47%",2,"23%",11,"24%",5,"24%","2019-2020",2020
"676","2","Jerami Grant",25.6,"DEN","Big",1860,55,"55.50%",54,"68%",32,"35%",46,"35%",30,"35%",41,"35%",80,"40%",76,"38%","2019-2020",2020
"677","2","Danny Green",32.4,"LAL","Wing",1684,66,"54.40%",74,"65%",89,"49%",21,"27%",60,"40%",43,"41%",38,"34%",56,"37%","2019-2020",2020
