"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"35","1","Aron Baynes",31.9,"BOS","Big",810,31,"52.00%",9,"55%",88,"50%",34,"31%",80,"45%",0,"36%",50,"35%",51,"35%","2018-2019",2019
"36","1","Kent Bazemore",29.3,"ATL","Wing",1639,26,"47.90%",39,"57%",20,"24%",63,"42%",34,"33%",23,"33%",36,"33%",30,"33%","2018-2019",2019
"37","1","Bradley Beal",25.3,"WAS","Wing",3025,75,"54.10%",84,"67%",79,"44%",61,"41%",73,"42%",64,"42%",45,"34%",49,"35%","2018-2019",2019
"38","1","Malik Beasley",21.9,"DEN","Wing",1789,96,"59.40%",76,"66%",79,"44%",77,"44%",81,"44%",80,"45%",88,"41%",92,"42%","2018-2019",2019
"39","1","Michael Beasley",29.8,"LAL","Big",254,39,"52.90%",88,"73%",39,"38%",19,"22%",28,"35%",0,"29%",0,"14%",0,"21%","2018-2019",2019
"40","1","Marco Belinelli",32.6,"SAS","Wing",1796,67,"52.60%",37,"57%",84,"46%",62,"41%",76,"43%",62,"42%",75,"37%",73,"38%","2018-2019",2019
"41","1","Jordan Bell",23.8,"GSW","Big",615,54,"55.20%",62,"67%",29,"35%",71,"41%",40,"38%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"42","1","DeAndre' Bembry",24.3,"ATL","Wing",1873,33,"48.80%",42,"58%",38,"32%",6,"14%",26,"30%",4,"27%",26,"31%",14,"30%","2018-2019",2019
"43","1","Dragan Bender",21,"PHX","Big",776,19,"50.50%",95,"77%",76,"47%",2,"0%",62,"41%",11,"26%",2,"20%",7,"21%","2018-2019",2019
"44","1","Dairis Bertans",29.1,"NOP","Wing",150,4,"36.40%",0,"0%",0,"0%",5,"10%",2,"9%",0,"29%",23,"31%",16,"30%","2018-2019",2019
"45","1","Davis Bertans",26,"SAS","Big",1594,87,"61.60%",76,"70%",43,"38%",83,"45%",64,"41%",99,"57%",88,"41%",97,"44%","2018-2019",2019
"46","1","Patrick Beverley",30.3,"LAC","Combo",2121,85,"53.00%",8,"49%",27,"35%",7,"20%",20,"33%",96,"51%",82,"38%",86,"41%","2018-2019",2019
"47","1","Khem Birch",26.1,"ORL","Big",556,91,"63.00%",71,"69%",79,"47%",99,"100%",91,"49%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"48","1","Bismack Biyombo",26.2,"CHA","Big",755,57,"55.40%",37,"63%",44,"38%",54,"36%",43,"38%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"49","1","Nemanja Bjelica",30.5,"SAC","Big",1795,65,"56.70%",25,"61%",58,"41%",56,"37%",58,"40%",16,"29%",95,"43%",90,"40%","2018-2019",2019
"50","1","Antonio Blakeney",22.1,"CHI","Wing",709,12,"44.50%",43,"58%",65,"39%",33,"33%",44,"36%",97,"53%",6,"24%",71,"38%","2018-2019",2019
"51","1","Eric Bledsoe",28.9,"MIL","Point",2266,83,"54.80%",94,"68%",22,"32%",35,"39%",22,"35%",15,"28%",35,"34%",27,"33%","2018-2019",2019
"52","1","Jaron Blossomgame",25.1,"CLE","Big",417,9,"48.50%",78,"70%",8,"24%",39,"33%",6,"26%",8,"24%",17,"29%",12,"26%","2018-2019",2019
"53","1","Bogdan Bogdanovic",26.2,"SAC","Wing",1944,48,"50.20%",27,"55%",64,"39%",72,"43%",65,"41%",40,"37%",74,"37%",69,"37%","2018-2019",2019
"54","1","Bojan Bogdanovic",29.5,"IND","Forward",2547,86,"57.20%",61,"64%",65,"40%",77,"46%",72,"42%",98,"53%",70,"37%",88,"42%","2018-2019",2019
"55","1","Andrew Bogut",33.9,"GSW","Big",126,74,"58.60%",31,"62%",88,"50%",0,"0%",93,"50%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"56","1","Jonah Bolden",22.8,"PHI","Big",567,84,"60.10%",97,"78%",13,"29%",39,"33%",12,"30%",23,"32%",61,"36%",48,"35%","2018-2019",2019
"57","1","Devin Booker",22,"PHX","Combo",2239,78,"52.50%",85,"63%",97,"49%",76,"46%",93,"48%",36,"36%",46,"33%",42,"34%","2018-2019",2019
"58","1","Avery Bradley",27.9,"MEM","Wing",442,79,"54.60%",11,"50%",61,"38%",95,"57%",99,"52%",0,"50%",76,"38%",85,"40%","2018-2019",2019
"59","1","Avery Bradley",27.9,"LAC","Wing",1462,15,"45.70%",8,"46%",48,"35%",62,"42%",56,"40%",30,"35%",43,"34%",40,"35%","2018-2019",2019
"60","1","Corey Brewer",32.7,"SAC","Wing",332,52,"50.70%",57,"62%",6,"13%",15,"25%",5,"17%",0,"43%",0,"29%",53,"36%","2018-2019",2019
"61","1","Corey Brewer",32.7,"PHI","Forward",120,15,"45.30%",72,"67%",1,"13%",3,"0%",0,"11%",0,"0%",0,"33%",0,"23%","2018-2019",2019
"62","1","Mikal Bridges",22.2,"PHX","Wing",2354,68,"52.80%",69,"64%",50,"35%",41,"35%",37,"35%",19,"32%",55,"35%",34,"34%","2018-2019",2019
"63","1","Miles Bridges",20.6,"CHA","Forward",1569,69,"54.40%",65,"64%",37,"34%",25,"29%",32,"32%",75,"40%",14,"30%",47,"34%","2018-2019",2019
"64","1","Isaiah Briscoe",22.6,"ORL","Point",456,9,"44.60%",74,"61%",7,"29%",6,"30%",6,"30%",0,"20%",31,"33%",6,"29%","2018-2019",2019
"65","1","Ryan Broekhoff",28.2,"DAL","Forward",391,99,"62.60%",85,"72%",1,"13%",100,"100%",45,"36%",100,"54%",69,"37%",93,"43%","2018-2019",2019
"66","1","Malcolm Brogdon",25.9,"MIL","Combo",1820,98,"57.50%",71,"61%",5,"26%",54,"41%",14,"31%",87,"50%",89,"41%",90,"43%","2018-2019",2019
"67","1","Dillon Brooks",22.8,"MEM","Forward",313,25,"48.70%",10,"48%",30,"33%",48,"38%",44,"35%",0,"40%",91,"41%",84,"41%","2018-2019",2019
"68","1","MarShon Brooks",29.8,"MEM","Wing",368,38,"49.10%",95,"77%",70,"43%",18,"26%",50,"37%",0,"29%",16,"28%",12,"28%","2018-2019",2019
"69","1","Bruce Brown",22.2,"DET","Wing",1406,11,"43.90%",22,"54%",23,"26%",8,"20%",13,"25%",36,"36%",1,"18%",11,"27%","2018-2019",2019
